Issue ID,Issue Type,Summary,Description,Priority,Parent ID,Component/s,Labels,Original Estimate
TASK-9,Sub-task,BrokerApp Details View,"*What:* Multi-tab detail view for a BrokerApp

*Features:*
- Overview tab: Status badge, Provisioned Service link, Application Role, Connection Information, Messaging Capabilities, Conditions table, Placeholder for metrics
- YAML tab: CodeEditor
- Resources tab: Table of resources (Secrets, ConfigMaps, CertificateRequests, RoleBindings)
- Breadcrumb: BrokerApps > {name}

*Acceptance Criteria:*
- Connection info displays correctly
- Copy buttons work
- Link to provisioned service navigates correctly
- Messaging capabilities display all addresses
- Test: View provisioned app → verify broker host and port are shown
- Test: Click copy button → verify value is copied to clipboard
- Test: Click provisioned service link → navigate to service detail
- Test: Verify all messaging addresses appear in correct sections

*Wireframe:* wireframe-app-details-overview.html, wireframe-app-details-resources.html",High,STORY-8,self-provisioning-ui,phase-2,6d
STORY-9,Story,Navigation Integration,"As a cluster administrator, I want to navigate between Brokers and BrokerApps using the OpenShift Console sidebar, so that I can easily access all messaging resources.

*Acceptance Criteria:*
- ""Brokers"" menu item appears in sidebar under Workloads
- ""BrokerApps"" menu item appears in sidebar under Workloads
- All routes navigate correctly
- Breadcrumbs show correct hierarchy on all pages",Medium,EPIC-1,self-provisioning-ui,phase-3,
TASK-10,Sub-task,Console Navigation Integration,"*What:* Integrate list and detail views into OpenShift Console navigation

*Features:*
- Add ""Brokers"" menu item under Workloads (points to list)
- Add ""BrokerApps"" menu item under Workloads (points to list)
- Configure routes for all views (take inspiration from SPP)
- Breadcrumb navigation on all pages

*Dependencies:* BrokerService List View, BrokerApp List View

*Acceptance Criteria:*
- Brokers menu item appears in sidebar under Workloads
- BrokerApps menu item appears in sidebar under Workloads
- All routes navigate correctly
- Breadcrumbs show correct hierarchy
- Test: Click ""Brokers"" in sidebar → navigate to list view
- Test: Navigate to detail → verify breadcrumbs show ""Brokers > {name}""
- Test: All URLs are bookmarkable and refreshable
- Documentation: Add screenshots of navigation to README

*Wireframe:* All wireframes",Medium,STORY-9,self-provisioning-ui,phase-3,3d
EPIC-4,Epic,Metrics & Monitoring,"Display performance metrics for BrokerServices and BrokerApps using Prometheus queries and charts. Enables cluster administrators to monitor messaging infrastructure health.",Medium,,self-provisioning-ui,phase-4,
STORY-10,Story,View BrokerService Metrics,"As a cluster administrator, I want to see metrics for a BrokerService, so that I can monitor performance and capacity.

*Acceptance Criteria:*
- Open BrokerService details page
- View metrics section with charts: Memory Usage, CPU Usage
- Select time range (1h, 6h, 24h)
- Charts update based on Prometheus queries

*Wireframe:* wireframe-broker-details-overview.html",Medium,EPIC-4,self-provisioning-ui,phase-4,
TASK-11,Sub-task,Metrics Chart Foundation,"*What:* Build reusable infrastructure for displaying Prometheus metrics (extract from SPP where applicable)

*Features:*
- Create reusable MetricsChart component
- Integrate with OpenShift monitoring API
- Time range selector (1h, 6h, 24h)
- Chart rendering
- Loading and error states
- No data state

*Dependencies:* Configure ServiceMonitor

*Acceptance Criteria:*
- Chart component accepts query and renders line chart
- Time range selector updates query and refreshes data
- Loading spinner shows while fetching
- Error message displays if query fails
- ""No data"" message shows if query returns empty
- Test: Render chart with valid query → verify data displays
- Test: Change time range → verify chart updates
- Test: Use invalid query → verify error message appears
- Test: Query with no data → verify ""No data"" state shows

*Wireframe:* N/A",High,STORY-10,self-provisioning-ui,phase-4,5d
TASK-12,Sub-task,BrokerService Metrics Charts,"*What:* Add metrics charts to BrokerService overview tab

*Features:*
- Memory Usage chart
- CPU Usage chart
- Shared time range selector (applies to both charts)
- Charts display in grid layout

*Dependencies:* BrokerService Details View, Metrics Chart Foundation

*Acceptance Criteria:*
- Memory chart shows container memory usage over time
- CPU chart shows CPU rate over time
- Time range selector updates both charts
- Charts show ""No data"" if broker has no pods
- Broker name is correctly substituted in queries
- Test: View broker with running pods → verify charts show data
- Test: Change time range → verify both charts update
- Test: View broker with no pods → verify ""No data"" message
- Test: Compare chart data with Prometheus UI → verify accuracy

*Wireframe:* wireframe-broker-details-overview.html",Medium,STORY-10,self-provisioning-ui,phase-4,4d
STORY-11,Story,View BrokerApp Metrics,"As a cluster administrator, I want to see metrics for a BrokerApp, so that I can monitor message throughput.

*Acceptance Criteria:*
- Open BrokerApp details page
- View metrics section with charts: Queue Depth, Consumer Count
- Select time range (1h, 6h, 24h)
- Charts update based on Prometheus queries

*Wireframe:* wireframe-app-details-overview.html",Medium,EPIC-4,self-provisioning-ui,phase-4,
TASK-13,Sub-task,BrokerApp Metrics Charts,"*What:* Add metrics charts to BrokerApp overview tab

*Features:*
- Queue Depth chart (derived from Message Count - Delivering Count)
- Consumer Count chart
- Shared time range selector (applies to both charts)
- Charts display in grid layout

*Dependencies:* BrokerApp Details View, Metrics Chart Foundation

*Acceptance Criteria:*
- Queue Depth chart shows waiting messages over time
- Consumer Count chart shows active consumers over time
- Time range selector updates both charts
- Charts show ""No data"" if app has no activity
- App role is correctly substituted in queries
- Test: Send messages to app → verify queue depth increases
- Test: Start consumer → verify consumer count chart updates
- Test: Change time range → verify both charts refresh
- Test: App with no messages → verify charts show zero or ""No data""

*Wireframe:* wireframe-app-details-overview.html",Medium,STORY-11,self-provisioning-ui,phase-4,4d
TASK-14,Sub-task,BrokerService List Metrics,"*What:* Add Memory usage column to BrokerService list

*Features:*
- Add Memory column to table (shows actual usage from Prometheus)
- Format memory values with units (Mi/Gi)
- Show loading state while fetching metrics
- Show ""N/A"" if metrics unavailable

*Dependencies:* Metrics Chart Foundation, BrokerService List View

*Acceptance Criteria:*
- Memory column displays actual container memory usage
- Values update as metrics change
- Column shows ""N/A"" for services with no running pods
- List performance remains good with metrics queries
- Test: View list → verify memory values match detail view
- Test: Service with no pods → verify ""N/A"" displayed

*Wireframe:* wireframe-service-list.html",Medium,STORY-4,self-provisioning-ui,phase-4,3d
TASK-15,Sub-task,BrokerApp List Metrics,"*What:* Add Queue Depth and Consumer Count columns to BrokerApp list

*Features:*
- Add Queue Depth column (Message Count - Delivering Count)
- Add Consumer Count column
- Show loading state while fetching metrics
- Show ""N/A"" if metrics unavailable

*Dependencies:* Metrics Chart Foundation, BrokerApp List View

*Acceptance Criteria:*
- Queue Depth column shows current waiting messages
- Consumer Count column shows active consumers
- Values update as metrics change
- Columns show ""N/A"" for apps with no activity
- List performance remains good with metrics queries
- Test: Send messages → verify queue depth updates in list
- Test: Start consumer → verify consumer count updates
- Test: App with no messages → verify ""N/A"" displayed

*Wireframe:* wireframe-app-list.html",Medium,STORY-7,self-provisioning-ui,phase-4,3d
